dt,xAcc_mma7455,yAcc_mma7455,zAcc_mma7455
2020-02-19T22:03:25.061293,39,4,65
2020-02-19T22:03:25.073138,40,3,68
2020-02-19T22:03:25.085605,39,5,67
2020-02-19T22:03:25.098322,40,4,67
2020-02-19T22:03:25.111321,39,5,68
2020-02-19T22:03:25.124030,39,4,69
2020-02-19T22:03:25.136689,40,4,67
2020-02-19T22:03:25.149414,40,4,68
2020-02-19T22:03:25.162136,40,6,68
2020-02-19T22:03:25.174836,38,5,68
2020-02-19T22:03:25.187492,39,4,67
2020-02-19T22:03:25.200270,39,6,68
2020-02-19T22:03:25.212980,40,4,66
2020-02-19T22:03:25.225693,40,4,67
2020-02-19T22:03:25.238349,40,5,66
2020-02-19T22:03:25.251330,40,3,67
2020-02-19T22:03:25.263957,38,6,68
2020-02-19T22:03:25.276615,39,3,68
2020-02-19T22:03:25.289280,39,4,68
2020-02-19T22:03:25.302042,38,5,67
2020-02-19T22:03:25.314716,40,4,68
2020-02-19T22:03:25.327423,39,5,68
2020-02-19T22:03:25.340096,38,4,66
2020-02-19T22:03:25.352790,39,5,67
2020-02-19T22:03:25.365438,40,5,67
2020-02-19T22:03:25.378142,39,4,69
2020-02-19T22:03:25.390826,39,4,67
2020-02-19T22:03:25.403520,40,4,69
2020-02-19T22:03:25.416174,41,5,67
2020-02-19T22:03:25.428884,40,5,67
2020-02-19T22:03:25.441846,40,4,68
2020-02-19T22:03:25.454533,39,4,67
2020-02-19T22:03:25.467267,39,5,67
2020-02-19T22:03:25.479999,40,4,68
2020-02-19T22:03:25.492707,39,4,68
2020-02-19T22:03:25.505385,38,5,68
2020-02-19T22:03:25.518000,40,5,68
2020-02-19T22:03:25.530883,39,5,67
2020-02-19T22:03:25.543572,40,3,67
2020-02-19T22:03:25.556259,39,5,67
2020-02-19T22:03:25.568890,39,4,68
2020-02-19T22:03:25.581860,40,5,68
2020-02-19T22:03:25.594522,39,4,68
2020-02-19T22:03:25.607216,40,4,69
2020-02-19T22:03:25.619907,39,3,67
2020-02-19T22:03:25.632594,39,5,67
2020-02-19T22:03:25.645259,39,4,67
2020-02-19T22:03:25.657951,40,5,68
2020-02-19T22:03:25.670699,39,5,69
2020-02-19T22:03:25.683388,39,4,68
2020-02-19T22:03:25.696047,41,5,67
2020-02-19T22:03:25.708747,39,4,67
2020-02-19T22:03:25.721710,40,5,66
2020-02-19T22:03:25.734395,41,5,67
2020-02-19T22:03:25.747066,39,4,67
2020-02-19T22:03:25.759889,39,6,66
2020-02-19T22:03:25.772548,40,4,69
2020-02-19T22:03:25.785156,41,4,68
2020-02-19T22:03:25.797842,39,5,67
2020-02-19T22:03:25.810578,39,4,68
2020-02-19T22:03:25.823295,40,4,67
2020-02-19T22:03:25.835988,40,5,66
2020-02-19T22:03:25.848613,39,4,67
2020-02-19T22:03:25.861743,38,5,68
2020-02-19T22:03:25.874400,39,4,68
2020-02-19T22:03:25.887111,40,4,67
2020-02-19T22:03:25.899775,40,4,67
2020-02-19T22:03:25.912475,39,5,67
2020-02-19T22:03:25.925109,40,4,68
2020-02-19T22:03:25.937766,39,5,68
2020-02-19T22:03:25.950444,38,5,69
2020-02-19T22:03:25.963228,39,4,68
2020-02-19T22:03:25.975898,39,5,68
2020-02-19T22:03:25.988586,40,4,66
2020-02-19T22:03:26.001613,39,5,66
2020-02-19T22:03:26.014318,39,5,68
2020-02-19T22:03:26.027056,41,5,67
2020-02-19T22:03:26.039873,39,5,67
2020-02-19T22:03:26.052576,39,4,67
2020-02-19T22:03:26.065264,39,5,68
2020-02-19T22:03:26.077922,40,4,67
2020-02-19T22:03:26.090858,40,5,66
2020-02-19T22:03:26.103561,39,5,66
2020-02-19T22:03:26.116234,40,5,67
2020-02-19T22:03:26.128897,38,4,69
2020-02-19T22:03:26.141720,39,5,68
2020-02-19T22:03:26.155773,40,4,69
2020-02-19T22:03:26.168488,40,5,66
